Dialogue,Label,,,
"minta Menteri Perladangan dan Komoditi menyatakan langkah yang diambil kementerian dalam mengurus isu harga
lantai getah yang membebankan pekebun getah.

Akan tetapi saya rasa cabaran-cabaran yang lebih getir di hadapan ini adalah apakah peranan orang-orang muda dalam industri getah ini kerana di Thailand umpamanya, mereka ada program Young Smart Farmer yang berjaya...Jadi saya rasa itu adalah cara-cara tambahan yang mungkin kita boleh fikirkan. Apakah pandangan Timbalan Menteri?",Question,821,983,548
"Saya agak teruja dengan jawapan-jawapan yang diberikan oleh Yang Berhormat Timbalan Menteri tadi, cuma kita berbicara soal meningkatkan produktiviti.

Kemudian saya hendak bertanya sebab kita berbicara soal produktiviti drive incentive, dengan izin, bagaimana kalau kita menukar bantuan musim tengkujuh (BMT) kepada IPG supaya IPG ini boleh naik lebih tinggi dan ia akan menjadi produktiviti drive incentive? Minta pandangan Timbalan Menteri.

Mengatakan bahawa 8,000 hektar kawasan penanaman getah telah mula dibuatkan rawatan sedangkan kita mempunyai lebih 1 juta hektar ladang getah di seluruh negara...Minta Timbalan Menteri jawab.",Question,,,
"minta Menteri Kewangan menyatakan bilakah subsidi bersasar akan dilaksanakan seperti yang telah diumumkan oleh YAB Perdana Menteri pada 27 November 2022. Apakah kerajaan boleh menjamin bahawa harga barangan tidak akan meningkat apabila subsidi bersasar dilaksanakan.

Jadi, boleh tak Yang Berhormat Menteri memberi gambaran apakah kriteria yang akan digunakan untuk melihat sama ada seseorang itu akan masuk dalam kumpulan sasar ataupun tidak.

Kalau boleh dikongsikan juga Yang Berhormat Timbalan Menteri sedikit gambaran− kita tahu sedang dibincangkan, apakah pendekatan yang akan digunakan untuk melaksanakan subsidi bersasar ini? Adakah melalui cash transfer ataupun melalui kupon ataupun pendekatan-pendekatan yang lain.",Question,,,
"Tadi dalam jawapan kata, mungkin akan datang ialah subsidi bersasar kepada diesel. Jadi, soalan saya ialah apakah rasionalnya langkah ini subsidi bersasar terhadap diesel? 

Adakah kementerian telah membuat kajian sektor mana yang akan paling terkesan akibat daripada subsidi bersasar kepada diesel? 

Apakah langkah mitigasi untuk membantu sektor-sektor yang terkesan ini?",Question,,,
"minta Menteri Pertanian dan Keterjaminan Makanan menyatakan jumlah nilai makanan import bagi tahun 2018, 2019, 2020, 2021, 2022 dan apakah langkah atau usaha telah atau akan diambil bagi memastikan kualiti dan jaminan keselamatan makanan negara.

Apakah inisiatif jangka pendek dan jangka panjang yang telah dilaksanakan untuk meningkatkan jaminan sekuriti makanan di negara kita ini dengan memberi fokus kepada pengeluaran domestik komoditi asas dan juga seterusnya untuk mengurangkan kebergantungan kepada sumber import bagi keseluruhan komoditi makanan di negara kita.",Question,,,
Tidak adakah satu kajian untuk melihat atau meletakkan satu target sebab peningkatan import ini terlalu tinggi seolah-olah kerajaan tidak boleh ataupun tidak menetapkan sasaran untuk mengurangkan kadar import ini?,Question,,,
"minta Menteri Pendidikan menyatakan sejauh mana usaha kerajaan menilai semula tahap penguasaan akademik murid sekolah rendah khususnya di kawasan luar bandar selepas pandemik COVID-19.

Oleh yang demikian, soalan saya ialah:
(i) apakah pendekatan yang digunakan oleh kementerian bagi memastikan setiap sekolah menitikberatkan penguasaan 3M secara holistik?; 
(ii) sejauh mana komitmen KPM untuk memastikan kadar penguasaan murid menerusi kemahiran 3M ini dapat dipertingkatkan secara tuntas?; dan 
(iii) tahap keberkesanan penggunaan digital pendidikan khasnya kepada murid sekolah rendah dan status terkini penggubalan Dasar Pendidikan Digital?",Question,,,
"Justeru itu, saya ingin mengetahui sejauh manakah kejayaan yang telah dicapai sejak 10 tahun lalu menerusi pelan tersebut? Apakah pelan sandaran kementerian untuk memastikan sekolah di luar bandar mempunyai kemudahan pembelajaran yang setara dengan sekolah di bandar dalam tempoh berbaki dua tahun lagi?",Question,,,
"minta Menteri Pelancongan, Seni dan Budaya menyatakan pelan intervensi kerajaan antara kementerian dalam memberi sokongan buat peniaga khususnya industri kecil sederhana terhadap isu lambakan juadah negara asing berbanding makanan asli tradisional Malaysia di lokasi-lokasi tumpuan pelancongan negara khususnya Kuala Lumpur bagi mengekang terhakisnya identiti negara.

Sebenarnya soalan saya mengenai makanan warisan yang tidak dipromosi dengan hebat oleh Kementerian Pelancongan, Seni dan Budaya...Apa komen Yang Berhormat Menteri, kalau boleh beri komenlah?",Question,,,
"Cuma persoalannya Yang Berhormat Menteri, negara-negara jiran kita, contohnya Indonesia ada menu ataupun hidangan untuk negara dia, contohnya, nasi padang. Thailand ada tomyam. Apakah kementerian merancang untuk mengadakan menu ataupun Kitchen Malaysia.

Apakah ada perancangan di peringkat kementerian untuk memperkenalkan suatu hidangan berbentuk Malaysia?",Question,,,
"minta Menteri Perpaduan Negara menyatakan bagaimanakah Kerajaan Madani akan memastikan pembelaan kepada semua kaum dan agama apabila berlaku pendakwaan terpilih terhadap penghinaan sesuatu kaum dan agama. Adakah Kerajaan Madani akan berlaku adil dalam memastikan segala penghinaan terhadap semua kaum dan agama dihentikan.

Soalannya adalah apabila ada dua orang individu yang menjadi atau dikatakan pendakwah bebas...Di mana perginya kedaulatan undang-undang? Di mana perginya keadilan yang sama rata kepada semua pihak?",Question,,,
"Jadi, soalan saya kepada Yang Berhormat Menteri ialah adakah kerajaan mempunyai satu polisi bahawa dalam perlembagaan itu sendiri kedudukan Islam adalah teristimewa berbanding dengan agama lain. Bukannya agama lain tidak baik, tetapi kedudukan, the position di sisi undang-undang itu sendiri sebagai religion of the federation.",Question,,,
"minta Menteri Pendidikan menyatakan:
(a) status pengambilan guru baharu tahun 2022; dan
(b) perincian pengambilan guru mengikut opsyen mata pelajaran bagi tahun 2016 hingga tahun 2022 dan unjuran pengambilan guru bagi tahun 2023 hingga 2027.

Timbalan Menteri menyebut pendekatan strategik yang dimulakan oleh Yang Berhormat Putrajaya yakni Kluster Mata Pelajaran yang saya fikir berjaya sedikit sebanyak memandu dan menyelesaikan masalah...Soalan saya, adakah KPM akan meneruskan pendekatan ini, pendekatan kluster mata pelajaran ini dengan memperbaikinya lagi.",Question,,,
"Jadi soalan saya, adakah statistik yang disebut oleh Yang Berhormat Menteri tadi adalah mencukupi. Jika tidak, mengapa tidak guru-guru sandaran ini diambil sebagai guru tetap? Apakah mekanisme pihak kementerian untuk membantu guru-guru sandaran ini yang ada niat dan hasrat untuk memohon jawatan sebagai guru tetap?",Question,,,
"minta Menteri Pembangunan Wanita, Keluarga dan Masyarakat menyatakan langkah-langkah segera kementerian untuk menangani masalah penderaan dan sosial membabitkan kanak-kanak yang mendapat liputan meluas akhir-akhir ini.

Pertamanya, iaitu berkenaan dengan penderaan kanak-kanak di taska...Jadi, soalan saya, apakah langkah kerajaan bagi menangani isu ini atau perkara ini agar ianya tidak berlaku lagi?

Keduanya, soalan saya atau pertanyaan saya berkenaan dengan apakah penyebab-penyebab, pernah kah pihak kementerian mengadakan kajian atau pun research berkenaan dengan penyebab-penyebab yang mendorong pelaku-pelaku membuat kerja ini atau pun mendera kanak-kanak.",Question,,,
"Soalan saya kepada Menteri, berapa peratus kes penderaan kanak-kanak setahun di negara kita. Sejauh mana usaha menoktahkan kes penderaan ini diusahakan oleh kementerian terutamanya berteraskan pendidikan agama kepada golongan atau pun pihak yang berwajib.",Question,,,
"minta Menteri Kerja Raya menyatakan status terkini pembangunan jalan empat lorong daripada Pokok Sena sehingga ke Bandar Durian Burung sebagai langkah pembangunan infrastruktur di sempadan Malaysia-Thailand.

Jadi, dengan perkembangan Kedah Rubber City yang sudah dimulakan, bagi saya sewajarnya projek ini dipercepat dan diperkukuhkan bagi memperkukuhkan aspek hubungan darat dan limpahan pembangunan. Cuma persoalan, bilakah jangkaan kajian terhadap penaiktarafan jalan ini akan disiapkan dan kalau boleh segera dilaksanakan?",Question,,,
"minta Menteri Pendidikan menyatakan apakah pembaharuan yang bakal dilakukan bagi menangani isu sekolah daif di seluruh negara? Apakah skor terkini kedaifan sekolah dan sejauh manakah keprihatinan kementerian dalam memastikan sekolah-sekolah daif ini mendapat perhatian khusus bagi memastikan proses penambahbaikan dan naik taraf dipantau dan dilaksanakan mengikut perancangan yang ditetapkan?

Saya ingin bertanya apakah kelonggaran yang diberikan oleh Kementerian Kewangan bagi memastikan bahawa pelaksanaan dapat dibuat mengikut perancangan yang telah ditetapkan?",Question,,,
"Langkah ke hadapan kita ingin tahu apakah langkah konkrit yang sebenar yang dirancang oleh kementerian?

Jadi, apakah langkah yang sebenar kementerian untuk merancakkan dana dan turunkan peruntukan lebih banyak bagi menyelesaikan sekolah-sekolah daif di seluruh negara?",Question,,,
"minta Menteri Pertanian dan Keterjaminan Makanan menyatakan jaminan kerajaan di dalam meningkatkan prestasi Malaysia dalam Global Food Security Index (GFSI) kerana dilaporkan bagi tahun 2020 Malaysia berada di tangga 41 daripada 113 buah negara dengan mencatatkan prestasi sederhana dengan skor sebanyak 69.9 peratus sahaja.

Saya hendak bertanya kepada Yang Berhormat Timbalan Menteri kalau BERNAS boleh beli jaminan selama 30 tahun dan harga yang stabil, apakah kerajaan melihat kepada kaedah stockpiling ini untuk barang-barang, contohnya seperti bijirin ataupun soya.",Question,,,
"Saya memerhatikan National Food Security Action Plan 2021-2025. Apakah setelah dilaksanakan sekian lama ini, boleh diberikan prestasi action plan ini kerana ia bersifat action plan. Bukan lagi blueprint-blueprin sudah.

Apakah matriks yang boleh Yang Berhormat Timbalan Menteri kemukakan supaya sedikit kita rasa keselesaan bahawa di sana memang bersungguh kerajaan mahu terutama Kerajaan Madani mahu menyelesaikan masalah keterjaminan makanan ini.",Question,,,
"minta Menteri Kerja Raya menyatakan status pelaksanaan Projek Pan Borneo terutamanya jalan pesisiran pantai menghubungkan Kota Kinabalu-Kudat bagi merancakkan ekonomi Daerah Kudat.

Jadi soalan saya, bilakah pakej-pakej yang seterusnya yang boleh sampai ke bandar Kudat akan dilaksanakan? Bilakah jangkaan tarikh siap pakej-pakej tersebut?",Question,,,
